rank,policy_name,n_payments,mean_p_success,recovery_rate_gt0,gross_recovered_revenue,total_action_cost,net_recovered_value,wait_pct,retry_pct,retry_nudge_pct,escalate_pct
1,AlwaysRetryPolicy,29719,0.254906,1.0,15508902.59,148595.0,15360307.59,0.0,100.0,0.0,0.0
2,RuleBasedPolicy,29719,0.259321,1.0,15988721.53,1554965.0,14433756.53,8.01,37.49,36.51,17.99
3,AlwaysNudgePolicy,29719,0.231168,1.0,14288436.32,445785.0,13842651.32,0.0,0.0,100.0,0.0
4,WaitPolicy,29719,0.143672,1.0,8703500.25,0.0,8703500.25,100.0,0.0,0.0,0.0
